Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
INDRA REGENT HOTEL,"NO.383,R.A.D.MEL MAWATHA,COLOMBO 03",26,ONE,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.854138,6.90434
HOTEL CHAMILA,"NO.85,TISSA ROAD,DETAGAMWA KATARAGAMA.",50,ONE,Moneragala,Thissamaharama,Katharagama Divisional Secretariat,81.33300018,6.416999817
HOTEL SUSANTHAS,"NATIONAL HOLIDAY RESORT RD,PITARAMBA,BENTOTA",18,ONE,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996968,6.421783
BERJAYA MOUNT ROYAL BEACH HOTEL,"NO:36,COLLAGE AVENUE,MOUNT LAVINIA",90,ONE,Colombo,Moratuwa,Mount Lavinia,79.864017,6.838659
NILWALA HOTEL,"NILWALA HOTEL, GALLE ROAD, KALUWAMODARA, ALUTHGAMA.",10,ONE,Kalutara,Aluthgama,Aluthgama,79.993697,6.439855
PIGEON ISLAND BEACH HOTEL,"11TH MILE POST, NILAVELI, TRINCOMALEE.",38,TWO,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.1836029,8.712216
GLENDOWER HOTEL,"NO:05,GRAND HOTEL ROAD,NUWARA ELIYA",20,ONE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.7663938,6.9675209
RANDIYA HOTEL,"389,KORALAWELLA,MORATUWA",10,ONE,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.8934418,6.7504834
TEMPLE TREE RESORT AND SPA,"NO:660,GALLE ROAD,INDURUWA",10,TWO,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.0088026,6.385751
FULL MOON GARDEN HOTEL,"NO.754, COLOMBO ROAD, KATUNAYAKE.",30,ONE,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,79.874539,7.154204
BARBERYN REEF AYURVEDA RESORT,"MORAGALLA,BERUWALA",75,ONE,Kalutara,Bentota Pradeshiya Sabha,Beruwala Divisional Secretariat,79.979952,6.4500038
GIMANHALA HOTEL,754 ANURADHAPURA ROAD DAMBULLA,17,TWO,Matale,Matale,Dambulla Divisional Secretariat,80.650599,7.879954
FIELDVIEW HOLYDAY RESORT,"ANNASIWATTE ROAD,OFF MDH,JAWARDANA MW,ATHURUGIRIYA.",10,ONE,Colombo,Colombo,Kesbewa Divisional Secretariat,79.986678,6.894121
LAKE SERENITY,"GONAPITIYA, KURUWITA",14,TWO,Ratnapura,Ratnapura,Ratnapura Divisional Secretariat,80.352292,6.762787
KOGGALA BEACH HOTEL,"KOGGALA,HABARADUWA.",189,ONE,Galle,Galle,Habaraduwa Divisional Secretariat,80.3218329,5.9892056
HOTEL SUNHILL,"NO.18 UNIQUE VIEW ROAD,NUWARAELIYA",15,ONE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.765424,6.963358
HOTEL HILL TOP,"200/21,BAHIRAVAKANDA,PERADENIYA ROAD,KANDY",81,TWO,Kandy,Kandy,Kundasale Divisional Secretariat,80.628789,7.289342
AVANI BENTOTA RESORT & SPA,"NATIONAL HOLIDAY RESORT,BENTOTA",90,TWO,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996304,6.423673
AUSTRIAN BEACH RESORT,"2/A 2, BANDARAWATTA,KEMAGODA,DICKWELLA",10,ONE,Matara,Matara,Dickwella Divisional Secretariat,80.722005,5.978461
ROYAL LOTUS HOTEL,"GIRITHALE, POLONNARUWA.",56,TWO,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.921978,7.991502
RIVERDALE HOTEL,"32, ANIWATTA ROAD, KANDY.",29,TWO,Kandy,Kandy,Kandy Divisional Secretariat,80.621583,7.289724
PARADISE HOLIDAY VILLAGE,"NO. 154/9, PORUTHOTA ROAD, PALANGATHURE, KOCHCHIKADE, NEGOMBO",33,ONE,Gampaha,Negombo,Negombo Divisional Secretariat,79.8422101,7.2467725
KITHALA RESORT,"KATARAGAMA ROAD, THISSAMAHARAMA.",40,TWO,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.297427,6.292455
LALITHA HOTEL,"NO.200A,GALLE ROAD, PAMBURANA, MATARA.",27,TWO,Matara,Matara,Matara Divisional Secretariat,80.5251754,5.9442652
