Name,Address,Rooms,District,AGA Division,PS/MC/UC,Logitiute,Latitude
KUMUDU VALLEY RESORT,"THALDEKA ROAD,NAINAMADAMA",10,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,79.840704,7.305658
LANKA PRINCESS HOTEL,"KALUWAMODARA,BERUWELA",94,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,79.989498,6.443611
RICHRON BEACH HOTEL,"BEACH ROAD,MARAWILA",25,Puttalam,Nattandiya Pradeshiya Sabha,Nattandiya Divisional Secretariat,79.81845,7.40603
LAWRENCE HILL PARADISE,"47,WAULAGODA MIDDLE ROAD,HIKKADUWA",14,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.1012754,6.1346957
NAVRO BEACH RESORT,"NO.40,BEACH ROAD,PANADURA",24,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.902238,6.713466
HERITANCE AYURVEDA MAHAGEDARA,"GALLE ROAD,MORAGALLE,BERUWALA",64,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,79.985631,6.446616
THE TAMARIND TREE,"NO 1, ADIAMBALAMA ESTATE, YATIYANA, MINUWANGODA.",57,Gampaha,Katunayake-Seeduwa,Katana Divisional Secretariat,79.918624,7.182871
SILVAS BEACH HOTEL,"NO.16,ETHUKALA,NEGOMBO",17,Gampaha,Negombo,Negombo Divisional Secretariat,79.8365076,7.2336371
STAR DUST BEACH HOTEL,"ARUGAMBAY,POTTUVIL",11,Ampara,Ampara,Pottuvil Divisional Secretariat,81.831336,6.850021
OASIS BEACH RESORT,"31,PORUTOTA ROAD,ETHUKALA,NEGOMBO",40,Gampaha,Katunayake-Seeduwa,Negombo Divisional Secretariat,79.841527,7.239711
98 ACRES RESORT,"UVA GREENLANDS ESTATE,NAMUNUKULA ROAD,ELLA",28,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.0602823,6.8712053
