Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
BACK OF BEYOND DEHIGAHA ELA,"ALAKOLAWEWA, DEHIGAHA ELA, SIGIRIYA",4,DELUXE,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.787916,7.914324
THE NEW LAND GUEST,"283,MAIN ROAD,KALKUDAH.",8,STANDARD,Batticaloa,Koralai Pattu,Koralai Pattu Divisional Secretariat,81.553927,7.897904
KANDANA REST,"117/A/4(27), DE MAZENOD COLLEGE ROAD, HAPUGODA, KANDANA",2,STANDARD,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,NULL,NULL
SIMLA INN,"PASSIKUDAH ROAD, KALKUDAH",8,STANDARD,Batticaloa,Batticaloa,Valaichchenai Divisional Secretariat,81.554464,7.920843
NEW REST INN,"PASSIKUDAH ROAD, KALKUDAH",4,STANDARD,Batticaloa,Batticaloa,Valaichchenai Divisional Secretariat,NULL,NULL
WHITE HOUSE FAMILY STAY,"GREEN VILLAGE, WELAGANE, MASPOTHA,KURUNEGALA",3,DELUXE,Kurunegala,Kurunegala,Maspotha Divisional Secretariat,NULL,NULL
BLUE WATER VILLA,"318, DAMPE ROAD, PILIYANDALA",5,DELUXE,Colombo,Kesbewa,Kesbewa Divisional Secretariat,79.913509,6.785133
TROPICAL RETREAT,"NO 182, HEENATIGALA ROAD, UNAWATUNA, GALLE",5,DELUXE,Galle,Akmeemana,Akmeemana Divisional Secretariat,80.254688,6.020797
UVA BEN HEAD PLANTATION (LOWER) BUNGALOW,"UVA BEN HEAD ESTATE, WELIMADA",4,DELUXE,Badulla,Welimada Pradeshiya Sabha,Welimada Divisional Secretariat,NULL,NULL
PLANTERS BUNGALOW,"10 MILE POST, UVA- KARADAGOLLA, ELLA",6,DELUXE,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.07644,6.831055
AMBASEWANA MANSION,"NO 05, THOTAMUNA ROAD, THOTAMUNA, MATARA",4,DELUXE,Matara,Matara,Matara Divisional Secretariat,80.541717,5.944455
SCOTTISH PLANTER GLENDEVON BUNGALOW,"RAGALA, HALGRAN OYA",4,DELUXE,Nuwara Eliya,Nuwara Eliya,Walapane Divisional Secretariat,NULL,NULL
LESPRI GRAND,"35, KIMBULAPITIYA ROAD, THELWATHTHA JUNCTION, NEGOMBO",8,DELUXE,Gampaha,Negombo,Negombo Divisional Secretariat,NULL,NULL
THE FERN COVE,"270/4, MEEPILIMANA, NUWARAELIYA",4,SUPERIOR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,NULL,NULL
GREEN VIEW GUEST,"GREEN VIEW GUEST,ELLA.",6,STANDARD,Badulla,Bandarawela Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
BUNGALOW 1926,"NO.20, CROSS STREET, NUWARA ELIYA",3,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.76542,6.977103
P.G.C. RESIDENCE,"271, ELAGOLLA WATTA, HEERASSAGALA, KANDY",5,DELUXE,Kandy,Gagawata Koralya,Gagawata,80.619967,7.268558
SUBASHRI,"SUBASHRI, QUAILS RIDGE, VICTORIA GOLF & COUNTRY RESORT, DIGANA, KANDY",4,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.765034,7.267648
BELLA CASA,"9/2, 4TH LANE, RATMALANA",3,STANDARD,Colombo,Dehiwala-Mount Lavinia,Ratmalana Divisional Secretariat,79.878536,6.817599
ELADETTA WALAUWA,"ELADETTA ESTATE, HANDESSA, KANDY",5,DELUXE,Kandy,Udunuwara Pradeshiya Sabha,Kandy Divisional Secretariat,80.578203,7.21801
RIVER EDGE BUNGALOW,"WARAPITIYA ROAD,KATUDENIYA,MATALE",3,SUPERIOR,Matale,Matale,Rattota Divisional Secretariat,80.644202,7.430442
VISAL BUNGALOWS,"1/116, LAKE SIDE AVENUE, VICTORIYA RANGE, KENGALLA",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
VISAL BUNGALOWS,"2/259, LOTUS AVENUE, VICTORIA RANGE, KENGALLA",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,80.729544,7.287538
N AND N VILLA,"246, LOTUS VICTORIA AVENUE, KENGALLA",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
ROBERT RESIDENCE,"NO. 12/7, ROBERT GUNAWARDENA MAWATHA, COLOMBO 06",3,SUPERIOR,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.876095,6.877735
CASSIA HILL,"WERAHERAWATTA,MEEPE,HABARADUWA,GALLE.",4,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.289822,6.018153
GIRIULLA MAOYA ELEPHANT VILLA,"UDARA STATE, MASNORUWA, GIRIULLA",3,SUPERIOR,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,80.150604,7.192303
DEEP BLUE,"39/3, POLHENA ROAD, POLHENA, MATARA",5,SUPERIOR,Matara,Matara,Matara Divisional Secretariat,80.525786,5.940061
RIVERS EDGE,"NO:11, PANAPITIYA, KARANDENIYA",3,SUPERIOR,Galle,MC,Karandeniya Divisional Secretariat,NULL,NULL
EAGAL'S NEST,"BUONA VISTA, UNAWATUNA, GALLE",4,SUPERIOR,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.241193,6.021211
BENI BEACH RESORT,"NO.5/8A,8TH CROSS, THIRUCHENTHUR ROAD,KALLADY,BATTICALOA.",4,STANDARD,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.713547,7.721915
OLIVE GREEN RESORT,"NO.96,NEW DUTCH BAR ROAD,KALLADY,BATTICALOA.",4,STANDARD,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.712474,7.723162
BONGO STAY,"11, BOYD PLACE, COLOMBO 03",5,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.85455,6.913767
CHAMELIA,"WATTAHERIYA WATTA,BALLAKETUWA ROAD,ELLA",5,SUPERIOR,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
LA- MONTANA RESORT,"""DISNA""KITHAL-ELLA,ELLA",3,SUPERIOR,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
VILLA RAHA,"33, MCLEOD ROAD, BAMBALAPITIYA, COLOMBO 04",7,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.860711,6.884798
ANYAA LIFESTYLE,"HELENA MAWATHA, WENNAPUWA.",4,SUPERIOR,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,79.839299,7.337334
PLANTAGE,"PALLIWASAL PADUWA, KOTTANTIVE",4,STANDARD,Puttalam,Kalpitiya Pradeshiya Sabha,Mundalama Divisional Secretariat,NULL,NULL
TASKANS VILLA,"30/17,CROCKTAIN MAWATHA, HEKITHTHA, WATTALA",5,DELUXE,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,NULL,NULL
HOTEL SISIL THERA,"NO:558/A, D.S SENANAYAKE MAWATHA, STAGE TOWN, ANURADHAPURA",4,STANDARD,Anuradhapura,Anuradhapura,Anuradhapura East,80.396271,8.319266
VILLA VISTA,"MIHIRI KANDA WATTA, HENWALA, MIRISSA",4,DELUXE,Matara,Weligama,Weligama Divisional Secretariat,NULL,NULL
HAGGAI TOURIST BUNGALOW,"NO 20, HALGASWATTE LANE, KIRULAPONE, COLOMBO 06",5,DELUXE,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,NULL,NULL
GULANAHENA TEA ESTATE BUNGALOW,"GULANAHENA TEA ESTATE,NILGAHAHENA,THINIYAWALA",3,STANDARD,Kalutara,Palindanuwara Pradeshiya Sabha,Palindanuwara Divisional Secretariat,80.321286,6.404352
